"시군구별","구분별","항목","단위","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월",
"성남시","계","시군별 세대 및 인구","","967508","966968","965691","964400","963297","962238","960769","958670","957435","955999","954919","954347","953447","952364","950916","949316","948582","947990","946568","945546","944741","943585","942929","942724","942649","942183","941688","941527","940519","939748","938982","940668","941783","941480","940746","940064",
"성남시","남","시군별 세대 및 인구","","479277","478910","478344","477730","477120","476572","475826","474757","474122","473442","472882","472506","471956","471470","470796","470051","469736","469325","468589","468086","467683","467031","466737","466644","466582","466306","466115","466119","465640","465307","465033","465801","466232","466057","465702","465407",
"성남시","여","시군별 세대 및 인구","","488231","488058","487347","486670","486177","485666","484943","483913","483313","482557","482037","481841","481491","480894","480120","479265","478846","478665","477979","477460","477058","476554","476192","476080","476067","475877","475573","475408","474879","474441","473949","474867","475551","475423","475044","474657",
"성남시","계","시군별 세대 및 인구","","16967","16988","17192","17368","17447","17353","17350","17345","17406","17693","17903","17933","17900","17987","17880","18021","18032","17924","17785","17641","17581","17931","17988","17618","17647","17611","17432","17266","16820","16723","16483","16208","16065","15872","15596","15184",
"성남시","남","시군별 세대 및 인구","","","","8573","","","8718","","","8819","","","9141","","","9091","","","9120","","","8882","","","8878","","","8741","","","8405","","","7996","","","7426",
"성남시","여","시군별 세대 및 인구","","","","8619","","","8635","","","8587","","","8792","","","8789","","","8804","","","8699","","","8740","","","8691","","","8318","","","8069","","","7758",
"부천시","합계","시군별 세대 및 인구","명","872900","873544","874014","873940","873481","872952","872584","871347","870978","870175","869109","868106","867194","865624","864282","863189","862526","862118","860726","859564","858634","857304","856638","855685","854802","853339","852965","852747","851896","851500","850264","848197","847197","846069","844662","842788",
"부천시","남","시군별 세대 및 인구","","","","436271","","","435593","","","434469","","","432953","","","430749","","","429371","","","427580","","","425986","","","424415","","","423546","","","421073","","","418680",
"부천시","여","시군별 세대 및 인구","","","","437743","","","437359","","","436509","","","435153","","","433533","","","432747","","","431054","","","429699","","","428550","","","427954","","","426124","","","424108",
"부천시","세대수","시군별 세대 및 인구","세대","336252","337129","337728","337968","338171","338177","338386","338330","338566","338700","338692","338759","338975","339045","339071","339028","339463","339667","339609","339609","339790","339817","339962","340160","340274","340444","340894","341258","341824","342539","342938","343181","343627","343993","","344495",
"부천시","계","시군별 세대 및 인구","","851404","851812","851935","851589","851012","850304","849746","848191","847579","846425","844953","843768","842538","840735","839201","837937","837233","836751","835433","834276","833218","831701","830811","829996","828947","827374","827132","826845","826093","825700","824675","822865","822000","821068","819990","818383",
"부천시","남","시군별 세대 및 인구","","424628","424734","424794","424548","424213","423824","423509","422654","422273","421602","420793","420179","419423","418415","417600","416860","416354","416046","415373","414815","414250","413450","412895","412500","411912","411044","410853","410678","410257","409982","409371","408411","407881","407401","406839","406023",
"부천시","여","시군별 세대 및 인구","","426776","427078","427141","427041","426799","426480","426237","425537","425306","424823","424160","423589","423115","422320","421601","421077","420879","420705","420060","419461","418968","418251","417916","417496","417035","416330","416279","416167","415836","415718","415304","414454","414119","413667","413151","412360",
"부천시","계","시군별 세대 및 인구","","21496","21732","22079","22351","22469","22648","22838","23156","23399","23750","24156","24338","24656","24889","25081","25252","25293","25367","25293","25288","25416","25603","25827","25689","25855","25965","25833","25902","25803","25800","25589","25332","25197","25001","24672","24405",
"부천시","남","시군별 세대 및 인구","","","","11477","","","11769","","","12196","","","12774","","","13149","","","13325","","","13330","","","13486","","","13562","","","13564","","","13192","","","12657",
"부천시","여","시군별 세대 및 인구","","","","10602","","","10879","","","11203","","","11564","","","11932","","","12042","","","12086","","","12203","","","12271","","","12236","","","12005","","","11748",
"화성시","합계","시군별 세대 및 인구","명","733563","744225","752696","759243","763486","767225","771288","776275","780162","786354","792506","798100","804795","810778","815330","821184","826102","830384","835608","839856","843597","848804","852807","855949","859931","863821","868439","872586","874709","876783","879152","882222","885814","888612","891212","892884",
"화성시","남","시군별 세대 및 인구","","","","397271","","","404950","","","411856","","","421539","","","430529","","","438251","","","445284","","","451668","","","458116","","","462707","","","467105","","","470651",
"화성시","여","시군별 세대 및 인구","","","","355425","","","362275","","","368306","","","376561","","","384801","","","392133","","","398313","","","404281","","","410323","","","414076","","","418709","","","422233",
"화성시","세대수","시군별 세대 및 인구","세대","272445","276695","280631","283903","285955","287361","289170","291536","293322","296087","298639","301025","303830","306638","308852","311380","313646","315862","318215","277787","322141","324338","326111","327797","329346","331289","333688","335727","337533","339150","340771","343103","345685","347748","","351924",
"화성시","계","시군별 세대 및 인구","","696587","707124","715626","722220","726498","729939","733861","738491","742053","747721","753259","758722","765107","771099","775958","781507","786183","790446","795186","799312","803252","807983","811778","815396","818760","822470","827603","831888","834378","836662","839493","842864","846850","850050","853106","855248",
