"시군별(1)",시군별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시군별(1)",시군별(2),합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기가스증기 및 공기조절 공급업,전기가스증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설관리 및 사업지원 및 임대서비스업,사업시설관리 및 사업지원 및 임대서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가관련서비스업,예술 스포츠 및 여가관련서비스업,협회 및 단체 수리 기타 개인서비스업,협회 및 단체 수리 기타 개인서비스업
"시군별(1)",시군별(2),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성 종사자수 (명),여성 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
"남부",하남시,16598,5769,84289,47805,36484,4,18,-,-,1566,9572,5,188,32,408,648,6424,5529,24547,1471,4502,2319,8837,160,989,76,753,892,2549,358,2065,286,3679,33,1867,708,5691,662,6773,432,2019,1417,3408
"남부",용인시,55828,21814,351012,196146,154866,34,218,10,280,4482,59389,20,255,104,1813,1760,18480,12455,49690,6078,20984,9566,34374,552,5636,370,4924,3805,10682,1665,30945,880,12937,99,6658,4147,38099,2525,29877,1877,11893,5399,13878
"남부",이천시,16790,6475,126045,76972,49073,62,566,-,-,1956,42934,8,93,54,845,607,7965,3728,12572,1771,12287,3294,11195,60,455,131,1784,677,1833,324,2698,390,7647,66,2325,794,7000,563,7415,544,2852,1761,3579
"남부",안성시,15884,5670,100910,62881,38029,89,809,4,26,2806,40935,6,209,77,678,566,4483,3238,10757,1682,4889,3066,8179,36,662,100,1247,480,1167,264,1742,329,4469,60,2150,613,6907,543,6316,489,2376,1436,2909
"남부",김포시,34269,11816,176235,108711,67524,23,164,1,5,9668,75606,15,231,144,1243,879,5760,7015,23858,2651,7961,4685,15534,149,841,178,1927,1849,4131,548,2304,476,2281,50,2518,1530,11578,1092,11857,829,2796,2487,5640
"남부",화성시,66767,21691,492031,338432,153599,39,279,13,133,19544,242389,27,317,318,2747,2137,22508,12466,43356,5517,18676,9574,31423,254,2183,322,3597,3222,8436,1381,36861,871,12628,85,4841,2995,25002,2032,20763,1580,5822,4390,10070
"남부",광주시,28195,9165,141633,88139,53494,26,173,1,30,6443,48374,13,136,58,700,1039,8033,6266,25100,3508,10234,3865,11971,62,470,96,1386,1083,2360,507,2406,369,1666,43,2879,935,7797,835,9963,745,2775,2301,5180
"남부",여주시,9287,3622,47505,26263,21242,28,329,6,34,1155,9034,2,57,34,525,360,2664,2148,6555,889,3082,1923,5369,25,163,65,748,315,676,166,990,192,2285,59,2196,333,3277,335,4215,310,3220,942,2086
"남부",양평군,8362,3398,32761,17637,15124,20,167,-,-,432,1613,7,64,25,243,462,3233,1639,4677,567,1136,2466,6873,50,244,57,643,510,905,178,719,102,367,50,1929,373,3094,327,4157,263,1110,834,1587
"북부",소계,237781,90880,1153832,628120,525712,134,1061,44,945,31428,242959,105,2739,617,8277,7951,61003,56437,189925,22733,59538,42919,133801,1817,14562,1729,23662,10080,29087,5056,26225,3618,30638,520,31944,11791,94457,9292,119887,7699,30075,23811,53047
