배출연도,배출월,광역시도,기초지자체,배출량(톤)
2017,8,부산광역시,영도구,172591
2017,8,부산광역시,부산진구,648965
2017,8,부산광역시,동래구,484033
2017,8,부산광역시,남구,536241
2017,8,부산광역시,북구,779594
2017,8,부산광역시,해운대구,1136856
2017,8,부산광역시,사하구,730855
2017,8,부산광역시,금정구,421308
2017,8,부산광역시,강서구,344893
2017,8,부산광역시,연제구,407323
2017,8,부산광역시,수영구,295976
2017,8,부산광역시,사상구,615923
2017,8,부산광역시,기장군,380025
2017,8,대구광역시,중구,145105
2017,8,대구광역시,동구,172071
2017,8,대구광역시,서구,86831
2017,8,대구광역시,남구,155869
2017,8,대구광역시,북구,401988
2017,8,대구광역시,수성구,586515
2017,8,대구광역시,달서구,1248873
2017,8,대구광역시,달성군,127434
2017,8,인천광역시,중구,73487
2017,8,인천광역시,동구,198405
2017,8,인천광역시,미추홀구,554168
2017,8,인천광역시,연수구,804715
2017,8,인천광역시,남동구,347653
2017,8,인천광역시,부평구,548292
2017,8,인천광역시,계양구,310191
2017,8,인천광역시,서구,1169380
2017,8,인천광역시,강화군,30591
2017,8,광주광역시,동구,114029
2017,8,광주광역시,서구,766248
2017,8,광주광역시,남구,463874
2017,8,광주광역시,북구,658861
2017,8,광주광역시,광산구,412755
2017,8,대전광역시,동구,16050
2017,8,대전광역시,중구,11047
2017,8,대전광역시,서구,47995
2017,8,대전광역시,유성구,56747
2017,8,대전광역시,대덕구,32965
2017,8,울산광역시,중구,92909
2017,8,울산광역시,남구,35964
2017,8,울산광역시,동구,55453
2017,8,울산광역시,북구,42327
2017,8,경기도,수원시장안구,826858
2017,8,경기도,수원시권선구,1140826
2017,8,경기도,수원시팔달구,405005
2017,8,경기도,수원시영통구,1479832
2017,8,경기도,성남시중원구,5204
2017,8,경기도,성남시분당구,15462
2017,8,경기도,의정부시,71263
2017,8,경기도,안양시,42789
2017,8,경기도,부천시,174987
2017,8,경기도,평택시,250712
2017,8,경기도,동두천시,241770
2017,8,경기도,고양시,20328
2017,8,경기도,구리시,732531
2017,8,경기도,남양주시,204421
2017,8,경기도,오산시,790199
2017,8,경기도,군포시,192024
2017,8,경기도,의왕시,701512
2017,8,경기도,용인시,3346460
2017,8,경기도,파주시,892940
2017,8,경기도,이천시,506021
2017,8,경기도,화성시,2395371
2017,8,경기도,양주시,456990
2017,8,경기도,포천시,239945
2017,8,경기도,여주시,154858
2017,8,강원도,춘천시,106543
2017,8,강원도,원주시,973944
2017,8,강원도,강릉시,190374
2017,8,강원도,동해시,871573
2017,8,강원도,삼척시,76989
2017,8,강원도,홍천군,86718
2017,8,강원도,횡성군,80743
2017,8,충청북도,청주시,1315499
2017,8,전라북도,군산시,738683
2017,8,전라북도,익산시,3525899
2017,8,전라북도,정읍시,702181
2017,8,전라북도,진안군,48143
2017,8,전라북도,임실군,21167
2017,8,전라북도,순창군,8508
2017,8,전라북도,고창군,72156
2017,8,전라북도,부안군,64472
2017,8,전라남도,순천시,274447
2017,8,전라남도,광양시,463950
2017,8,전라남도,해남군,3070
2017,8,전라남도,무안군,7627
2017,8,경상북도,포항시,919704
2017,8,경상북도,김천시,366927
2017,8,경상북도,안동시,404419
2017,8,경상북도,구미시,1339654
2017,8,경상북도,영주시,3679
2017,8,경상북도,상주시,116533
2017,8,경상북도,경산시,496388
2017,8,경상북도,예천군,23439
2017,8,경상북도,울진군,164122
2017,8,경상북도,울릉군,1701
2017,8,경상남도,진주시,696826
2017,8,경상남도,김해시,1725668
2017,8,경상남도,거제시,28685
2017,8,경상남도,양산시,84523
2017,8,경상남도,의령군,2861
2017,8,경상남도,창녕군,92459
2017,8,제주특별자치도,제주시,2045379
2017,8,제주특별자치도,서귀포시,891977
2017,9,서울특별시,종로구,75607
2017,9,서울특별시,중구,152338
2017,9,서울특별시,용산구,5243
2017,9,서울특별시,성동구,287515
2017,9,서울특별시,광진구,137976
2017,9,서울특별시,동대문구,98379
2017,9,서울특별시,중랑구,441552
2017,9,서울특별시,성북구,170177
2017,9,서울특별시,도봉구,1762546
2017,9,서울특별시,노원구,1067206
2017,9,서울특별시,은평구,116991
2017,9,서울특별시,서대문구,454019
2017,9,서울특별시,마포구,1126203
2017,9,서울특별시,양천구,368352
2017,9,서울특별시,강서구,161562
2017,9,서울특별시,구로구,45520
2017,9,서울특별시,금천구,310297
2017,9,서울특별시,영등포구,802809
2017,9,서울특별시,동작구,414845
2017,9,서울특별시,서초구,325944
2017,9,서울특별시,강동구,267190
2017,9,서울특별시,송파구,1538263
2017,9,부산광역시,중구,7789
2017,9,부산광역시,서구,80188
2017,9,부산광역시,동구,50573
2017,9,부산광역시,영도구,154608
2017,9,부산광역시,부산진구,581241
2017,9,부산광역시,동래구,431422
2017,9,부산광역시,남구,475580
2017,9,부산광역시,북구,685047
2017,9,부산광역시,해운대구,1010415
2017,9,부산광역시,사하구,646913
2017,9,부산광역시,금정구,377459
2017,9,부산광역시,강서구,302411
2017,9,부산광역시,연제구,360822
2017,9,부산광역시,수영구,266614
2017,9,부산광역시,사상구,543645
2017,9,부산광역시,기장군,345533
2017,9,대구광역시,중구,134053
