,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인,세대수,남,여,외국인
광주시,140902 ,178304 ,169194 ,12493 ,141532 ,178812 ,169775 ,12567 ,142265 ,179431 ,170419 ,12439 ,143127 ,180189 ,171305 ,12398 ,144169 ,181188 ,172362 ,12357 ,145115 ,182115 ,173288 ,12469 ,146014 ,183345 ,174218 ,12490 ,146995 ,184291 ,175139 ,12650 ,147697 ,184808 ,175725 ,12695 ,148745 ,185477 ,176453 ,12779 ,149519 ,186001 ,177055 ,12938 ,150055 ,186309 ,177473 ,13037 ,150524 ,186502 ,177677 ,13071 ,150992 ,186676 ,177796 ,13022 ,151480 ,187027 ,178112 ,12794 ,152203 ,187532 ,178560 ,12831 ,152824 ,188109 ,178987 ,12837 ,153251 ,188450 ,179205 ,12788 ,153889 ,188843 ,179548 ,12892 ,126957 ,189083 ,179916 ,12960 ,155164 ,189808 ,180603 ,12962 ,155863 ,190190 ,181095 ,13092 ,156379 ,190449 ,181454 ,13118 ,156884 ,190774 ,181880 ,12986 ,157357 ,191127 ,182147 ,13188 ,157865 ,191421 ,182446 ,13206 ,158469 ,191945 ,182968 ,13028 ,158741 ,192208 ,183353 ,12929 ,159719 ,192894 ,183859 ,12852 ,160437 ,193232 ,184293 ,12802 ,161473 ,193796 ,184927 ,12733 ,162235 ,194146 ,185334 ,12617 ,162979 ,194524 ,185767 ,12459 ,163408 ,194783 ,186038 ,12295 ,NaN,194991 ,186333 ,12101 ,164320 ,195298 ,186756 ,11900 
광명시,127055 ,164338 ,167422 ,5889 ,126997 ,163725 ,166898 ,5964 ,127256 ,163810 ,166909 ,6001 ,127533 ,163852 ,166985 ,6064 ,127739 ,163829 ,166960 ,6046 ,127755 ,163668 ,166948 ,6135 ,127911 ,163522 ,166838 ,6106 ,127898 ,163051 ,166514 ,6088 ,128065 ,162884 ,166336 ,6108 ,128052 ,162442 ,165885 ,6175 ,128051 ,162087 ,165442 ,6252 ,128126 ,161734 ,165107 ,6273 ,128308 ,161524 ,164901 ,6276 ,128355 ,161221 ,164545 ,6285 ,128081 ,160659 ,164071 ,6216 ,127646 ,159997 ,163530 ,6200 ,127395 ,159439 ,162979 ,6206 ,127091 ,158925 ,162510 ,6194 ,126957 ,158524 ,162169 ,6139 ,153889 ,158133 ,161766 ,6129 ,126652 ,157759 ,161446 ,6084 ,126368 ,157157 ,160864 ,6073 ,126096 ,156721 ,160423 ,6073 ,126001 ,156405 ,160147 ,5942 ,125911 ,156095 ,159825 ,5925 ,126237 ,156129 ,159996 ,5916 ,126334 ,156128 ,160092 ,5806 ,126216 ,155900 ,159845 ,5704 ,125901 ,155249 ,159164 ,5566 ,125528 ,154425 ,158349 ,5501 ,125021 ,153575 ,157544 ,5385 ,124242 ,152384 ,156294 ,5215 ,123278 ,150994 ,154842 ,5042 ,122067 ,149478 ,153283 ,4818 ,NaN,148104 ,151988 ,4605 ,120560 ,147278 ,151321 ,4469 
군포시,106638 ,139395 ,141284 ,6796 ,106658 ,139005 ,140807 ,6807 ,106829 ,138914 ,140769 ,6807 ,107022 ,138890 ,140744 ,6864 ,107169 ,138753 ,140601 ,6889 ,107246 ,138618 ,140523 ,6882 ,107236 ,138441 ,140316 ,6843 ,107271 ,138162 ,140025 ,6779 ,107263 ,137977 ,139771 ,6770 ,107237 ,137729 ,139564 ,6807 ,107396 ,137645 ,139460 ,6919 ,107548 ,137536 ,139380 ,6960 ,107726 ,137402 ,139243 ,7001 ,107792 ,137076 ,138982 ,6999 ,107762 ,136824 ,138762 ,6967 ,107806 ,136598 ,138609 ,7041 ,107855 ,136404 ,138389 ,7070 ,107955 ,136378 ,138308 ,7063 ,108129 ,136174 ,138190 ,7018 ,108129 ,136165 ,138330 ,7024 ,108749 ,136269 ,138398 ,7010 ,109182 ,136439 ,138690 ,7060 ,109645 ,136666 ,138880 ,7092 ,110005 ,136878 ,138974 ,7010 ,110248 ,136990 ,138999 ,7031 ,110540 ,136998 ,138859 ,6982 ,110864 ,137040 ,138920 ,6900 ,110974 ,137034 ,138920 ,6854 ,111242 ,137001 ,138901 ,6751 ,111639 ,137037 ,139002 ,6702 ,111918 ,137053 ,138942 ,6674 ,112054 ,136823 ,138685 ,6600 ,112114 ,136530 ,138455 ,6572 ,112242 ,136329 ,138291 ,6512 ,NaN,136130 ,138179 ,6365 ,112476 ,135834 ,137957 ,6248 
하남시,94601 ,117843 ,116576 ,2176 ,95551 ,118951 ,117702 ,2192 ,96370 ,119795 ,118561 ,2220 ,97171 ,120486 ,119176 ,2260 ,97951 ,120950 ,119698 ,2248 ,98469 ,121430 ,120250 ,2282 ,99033 ,122012 ,120778 ,2285 ,99880 ,122695 ,121534 ,2289 ,100737 ,123338 ,122139 ,2315 ,102213 ,124411 ,123249 ,2328 ,104047 ,126257 ,124998 ,2358 ,105832 ,127865 ,126550 ,2345 ,106984 ,129000 ,127611 ,2350 ,108271 ,130284 ,128763 ,2336 ,109238 ,131231 ,129631 ,2316 ,110018 ,131949 ,130312 ,2281 ,110716 ,132511 ,130931 ,2274 ,111295 ,133022 ,131384 ,2267 ,112159 ,133846 ,132236 ,2264 ,91879 ,134903 ,133283 ,2273 ,113972 ,135623 ,133916 ,2245 ,114571 ,136052 ,134443 ,2260 ,115113 ,136553 ,135021 ,2280 ,115792 ,136985 ,135470 ,2279 ,116659 ,137533 ,136054 ,2304 ,117734 ,138362 ,137022 ,2299 ,118883 ,139324 ,138107 ,2286 ,119929 ,140443 ,139178 ,2312 ,121096 ,141301 ,140039 ,2273 ,122338 ,142312 ,140944 ,2272 ,123194 ,142973 ,141534 ,2255 ,124208 ,143555 ,142138 ,2229 ,125491 ,144433 ,143019 ,2213 ,126569 ,145167 ,143755 ,2200 ,NaN,146255 ,144820 ,2187 ,128774 ,147424 ,146028 ,2168 
오산시,85949 ,110058 ,104062 ,8454 ,86410 ,110467 ,104385 ,8526 ,86809 ,110764 ,104640 ,8694 ,87464 ,111495 ,105260 ,8769 ,88011 ,112050 ,105877 ,8857 ,88321 ,112393 ,106242 ,8963 ,88519 ,112573 ,106343 ,9006 ,88739 ,112653 ,106345 ,9036 ,88989 ,112760 ,106381 ,9136 ,89231 ,112855 ,106364 ,9216 ,89563 ,113096 ,106618 ,9370 ,89860 ,113237 ,106833 ,9450 ,90165 ,113310 ,106830 ,9487 ,90578 ,113417 ,106822 ,9564 ,90853 ,113557 ,106820 ,9559 ,90999 ,113460 ,106621 ,9612 ,91318 ,113548 ,106541 ,9639 ,91538 ,113626 ,106459 ,9668 ,91658 ,113583 ,106392 ,9628 ,91658 ,114441 ,107228 ,9659 ,93221 ,115127 ,107854 ,9695 ,93866 ,115730 ,108383 ,9840 ,94582 ,116401 ,109045 ,9858 ,95209 ,116904 ,109475 ,9696 ,95594 ,117148 ,109588 ,9707 ,95918 ,117239 ,109661 ,9766 ,96259 ,117359 ,109753 ,9684 ,96525 ,117610 ,109940 ,9672 ,96896 ,117796 ,109953 ,9659 ,97348 ,117949 ,110162 ,9635 ,97673 ,118057 ,110266 ,9633 ,98150 ,118304 ,110464 ,9617 ,98610 ,118568 ,110681 ,9551 ,98897 ,118665 ,110759 ,9468 ,NaN,118706 ,110885 ,9360 ,99436 ,118785 ,110940 ,9231 
이천시,87306 ,108803 ,104178 ,6774 ,87432 ,108757 ,104050 ,6771 ,87723 ,108942 ,104126 ,6886 ,87948 ,109076 ,104172 ,6854 ,88159 ,109345 ,104247 ,6876 ,88328 ,109954 ,104630 ,6987 ,88497 ,110142 ,104727 ,7133 ,88733 ,110247 ,104707 ,7210 ,88882 ,110276 ,104663 ,7307 ,89166 ,110402 ,104675 ,7400 ,89390 ,110042 ,104458 ,7432 ,89596 ,109878 ,104328 ,7379 ,90082 ,110186 ,104302 ,7202 ,90422 ,110303 ,104245 ,7153 ,90623 ,110280 ,104171 ,7187 ,91219 ,110565 ,104249 ,7204 ,91551 ,110735 ,104340 ,7252 ,91700 ,111013 ,104486 ,7292 ,91879 ,111273 ,104641 ,7409 ,112159 ,111533 ,104694 ,7461 ,92250 ,111556 ,104669 ,7486 ,92429 ,111621 ,104711 ,7610 ,92434 ,111215 ,104589 ,7654 ,92643 ,111244 ,104590 ,7515 ,92902 ,111284 ,104601 ,7566 ,93178 ,111272 ,104597 ,7513 ,93738 ,111554 ,104850 ,7499 ,94112 ,111858 ,104986 ,7448 ,95030 ,112430 ,105117 ,7443 ,96059 ,113002 ,105463 ,7423 ,96643 ,113271 ,105683 ,7386 ,97350 ,113658 ,105879 ,7299 ,97440 ,113655 ,105876 ,7244 ,97598 ,113667 ,105846 ,7168 ,NaN,113668 ,105857 ,7150 ,96799 ,112947 ,105441 ,7030 
안성시,77511 ,93413 ,89027 ,10804 ,77688 ,93353 ,88990 ,10753 ,77751 ,93306 ,88894 ,10763 ,77856 ,93360 ,88851 ,10823 ,78003 ,93426 ,88852 ,10957 ,78108 ,93449 ,88845 ,11000 ,78254 ,93720 ,89024 ,11030 ,78785 ,94105 ,89384 ,11039 ,79082 ,94238 ,89513 ,11136 ,79339 ,94231 ,89573 ,11276 ,79578 ,94096 ,89479 ,11424 ,79805 ,94095 ,89484 ,11375 ,80090 ,94127 ,89484 ,11382 ,80331 ,94189 ,89487 ,11365 ,80493 ,94158 ,89412 ,11283 ,80626 ,94185 ,89480 ,11449 ,80806 ,94487 ,89654 ,11536 ,81140 ,94734 ,89876 ,11563 ,81207 ,94695 ,89769 ,11719 ,81207 ,94647 ,89629 ,11695 ,81298 ,94581 ,89501 ,11748 ,81358 ,94482 ,89351 ,11870 ,81415 ,94287 ,89225 ,11885 ,81599 ,94227 ,89178 ,11802 ,81761 ,94249 ,89120 ,11885 ,81999 ,94316 ,89128 ,11938 ,82511 ,94481 ,89270 ,11811 ,82794 ,94781 ,89430 ,11771 ,83178 ,95278 ,89740 ,11663 ,83543 ,95447 ,89858 ,11648 ,83780 ,95575 ,89969 ,11547 ,84257 ,95880 ,90224 ,11558 ,84772 ,96122 ,90338 ,11502 ,85138 ,96241 ,90454 ,11389 ,NaN,96313 ,90540 ,11331 ,85839 ,96355 ,90657 ,11222 
의왕시,59122 ,77651 ,77867 ,1199 ,58986 ,77430 ,77553 ,1189 ,58922 ,77316 ,77477 ,1172 ,58910 ,77281 ,77398 ,1168 ,58830 ,77163 ,77250 ,1164 ,58806 ,77059 ,77168 ,1158 ,58743 ,76950 ,77084 ,1147 ,58726 ,76796 ,76956 ,1140 ,58727 ,76786 ,76874 ,1137 ,58764 ,76676 ,76885 ,1145 ,58815 ,76715 ,76955 ,1151 ,58946 ,76834 ,77098 ,1152 ,59109 ,76931 ,77183 ,1154 ,59426 ,77282 ,77473 ,1149 ,60011 ,77943 ,78205 ,1162 ,60451 ,78391 ,78699 ,1174 ,60977 ,78950 ,79158 ,1175 ,61335 ,79256 ,79440 ,1164 ,61726 ,79560 ,79840 ,1171 ,61726 ,79738 ,79982 ,1183 ,62058 ,79838 ,80073 ,1185 ,62043 ,79833 ,80190 ,1185 ,62020 ,79843 ,80202 ,1186 ,62387 ,80353 ,80800 ,1191 ,62814 ,80957 ,81515 ,1194 ,63498 ,81709 ,82273 ,1196 ,63691 ,82016 ,82586 ,1188 ,63690 ,82049 ,82652 ,1180 ,63461 ,81782 ,82368 ,1160 ,63224 ,81480 ,82142 ,1140 ,63085 ,81175 ,81874 ,1118 ,63110 ,81006 ,81745 ,1110 ,64152 ,81504 ,82216 ,1097 ,64462 ,81603 ,82357 ,1087 ,NaN,81584 ,82394 ,1068 ,64690 ,81470 ,82325 ,1062 
양평군,53315 ,57952 ,57179 ,1584 ,20829 ,28022 ,29324 ,203 ,20768 ,27946 ,29278 ,198 ,53597 ,58054 ,57320 ,1559 ,53710 ,58198 ,57448 ,1550 ,53802 ,58308 ,57508 ,1545 ,53966 ,58435 ,57612 ,1555 ,54045 ,58576 ,57657 ,1582 ,54094 ,58514 ,57625 ,1585 ,54195 ,58528 ,57681 ,1591 ,54315 ,58462 ,57657 ,1585 ,54422 ,58396 ,57699 ,1575 ,54547 ,58389 ,57735 ,1566 ,54630 ,58391 ,57725 ,1529 ,54686 ,58331 ,57683 ,1520 ,54850 ,58362 ,57722 ,1522 ,55145 ,58543 ,57974 ,1522 ,55239 ,58606 ,58035 ,1527 ,55372 ,58784 ,58130 ,1513 ,49915 ,58874 ,58160 ,1534 ,55514 ,58806 ,58204 ,1525 ,55638 ,58856 ,58226 ,1534 ,55712 ,58737 ,58196 ,1535 ,55782 ,58654 ,58220 ,1500 ,55874 ,58654 ,58256 ,1517 ,55981 ,58630 ,58272 ,1498 ,56085 ,58676 ,58349 ,1500 ,56282 ,58837 ,58464 ,1475 ,56479 ,58902 ,58554 ,1463 ,56647 ,59048 ,58653 ,1451 ,56817 ,59192 ,58739 ,1440 ,57020 ,59475 ,58897 ,1426 ,57160 ,59493 ,58940 ,1422 ,57307 ,59533 ,59076 ,1414 ,NaN,59600 ,59178 ,1395 ,57675 ,59563 ,59247 ,1364 
여주시,49012 ,56633 ,55348 ,3523 ,49019 ,56655 ,55269 ,3520 ,49094 ,56642 ,55273 ,3467 ,49146 ,56634 ,55264 ,3427 ,49191 ,56577 ,55238 ,3439 ,49208 ,56526 ,55217 ,3466 ,49224 ,56459 ,55180 ,3475 ,49323 ,56467 ,55172 ,3549 ,49391 ,56453 ,55147 ,3605 ,49464 ,56475 ,55145 ,3608 ,49544 ,56500 ,55103 ,3563 ,49542 ,56479 ,55046 ,3549 ,49504 ,56491 ,54877 ,3552 ,49539 ,56418 ,54787 ,3487 ,49602 ,56403 ,54775 ,3428 ,49666 ,56391 ,54752 ,3403 ,49760 ,56383 ,54738 ,3403 ,49808 ,56362 ,54731 ,3430 ,49915 ,56400 ,54750 ,3499 ,55372 ,56369 ,54726 ,3543 ,49941 ,56334 ,54660 ,3567 ,50228 ,56391 ,54669 ,3609 ,50296 ,56453 ,54697 ,3640 ,50334 ,56427 ,54656 ,3576 ,50380 ,56388 ,54629 ,3617 ,50456 ,56378 ,54630 ,3600 ,50556 ,56415 ,54668 ,3527 ,50685 ,56492 ,54706 ,3502 ,50809 ,56545 ,54689 ,3542 ,50966 ,56582 ,54759 ,3524 ,51081 ,56600 ,54800 ,3523 ,51172 ,56651 ,54787 ,3525 ,51270 ,56689 ,54823 ,3498 ,51363 ,56710 ,54895 ,3476 ,NaN,56728 ,54908 ,3450 ,51748 ,56838 ,55059 ,3461 
과천시,20860 ,28054 ,29347 ,203 ,53409 ,57974 ,57203 ,1569 ,53504 ,58007 ,57260 ,1551 ,20739 ,27901 ,29253 ,214 ,20727 ,27866 ,29220 ,210 ,20688 ,27806 ,29162 ,204 ,20675 ,27786 ,29113 ,203 ,20887 ,28040 ,29353 ,200 ,21011 ,28176 ,29487 ,206 ,21093 ,28271 ,29600 ,209 ,21142 ,28343 ,29668 ,192 ,21205 ,28423 ,29719 ,183 ,21266 ,28470 ,29725 ,180 ,21291 ,28519 ,29761 ,180 ,21286 ,28524 ,29743 ,184 ,21315 ,28516 ,29702 ,184 ,21308 ,28481 ,29631 ,198 ,21299 ,28458 ,29592 ,193 ,21335 ,28469 ,29575 ,188 ,21335 ,28457 ,29579 ,187 ,21387 ,28494 ,29549 ,183 ,21372 ,28482 ,29515 ,182 ,21398 ,28541 ,29566 ,174 ,21467 ,28638 ,29651 ,173 ,21457 ,28650 ,29684 ,162 ,21442 ,28616 ,29637 ,164 ,21434 ,28633 ,29647 ,167 ,21957 ,29341 ,30346 ,180 ,22385 ,29872 ,30918 ,182 ,22631 ,30125 ,31184 ,182 ,22766 ,30296 ,31421 ,181 ,22830 ,30374 ,31528 ,178 ,22864 ,30431 ,31551 ,180 ,22915 ,30459 ,31552 ,182 ,NaN,30466 ,31560 ,174 ,23373 ,31068 ,32163 ,166 
고양시,409202 ,511344 ,530253 ,12278 ,409713 ,511236 ,530194 ,12296 ,410427 ,511114 ,530336 ,12353 ,411178 ,511210 ,530541 ,12401 ,411792 ,511405 ,530722 ,12404 ,412850 ,511971 ,531394 ,12427 ,413484 ,512022 ,531611 ,12471 ,414515 ,511866 ,531540 ,12446 ,415051 ,511693 ,531342 ,12496 ,415905 ,511752 ,531377 ,12631 ,416954 ,512224 ,531734 ,12650 ,417607 ,512359 ,531830 ,12664 ,418085 ,512223 ,531774 ,12677 ,418575 ,511917 ,531509 ,12655 ,419505 ,512152 ,532027 ,12626 ,420749 ,512768 ,532765 ,12621 ,421975 ,513309 ,533243 ,12638 ,422864 ,513781 ,533794 ,12590 ,424902 ,515498 ,535679 ,12529 ,424902 ,517685 ,538188 ,12509 ,429931 ,519410 ,539930 ,12550 ,431475 ,520659 ,541270 ,12592 ,432730 ,521818 ,542400 ,12595 ,434028 ,522749 ,543602 ,12508 ,435238 ,523803 ,544838 ,12525 ,436688 ,524883 ,546119 ,12531 ,437946 ,525756 ,547153 ,12409 ,438900 ,526681 ,548172 ,12347 ,440420 ,527304 ,548875 ,12225 ,441878 ,527663 ,549333 ,12156 ,443049 ,527701 ,549646 ,12023 ,443670 ,527215 ,549191 ,11910 ,444420 ,526928 ,548913 ,11841 ,445663 ,527169 ,549395 ,11724 ,NaN,527834 ,550213 ,11615 ,448574 ,528480 ,550736 ,11522 
남양주시,256333 ,333004 ,334018 ,6836 ,257359 ,334256 ,335297 ,6776 ,258195 ,335166 ,336312 ,6743 ,259020 ,335970 ,337271 ,6785 ,259793 ,336723 ,338048 ,6820 ,260372 ,337412 ,338666 ,6929 ,261074 ,338248 ,339488 ,6996 ,262207 ,339427 ,340818 ,7077 ,262921 ,339838 ,341374 ,7102 ,263504 ,339862 ,341523 ,7157 ,263984 ,339883 ,341652 ,7165 ,264488 ,340030 ,341798 ,7137 ,265116 ,340422 ,342118 ,7175 ,266237 ,341356 ,343055 ,7128 ,267061 ,342020 ,343896 ,7070 ,268285 ,342750 ,344825 ,7193 ,269211 ,343389 ,345630 ,7257 ,270211 ,344481 ,346626 ,7307 ,271647 ,345828 ,347965 ,7377 ,271647 ,347547 ,349678 ,7393 ,274459 ,348496 ,350830 ,7437 ,275474 ,349141 ,351457 ,7518 ,275986 ,349286 ,351805 ,7522 ,276656 ,349664 ,352166 ,7477 ,277259 ,350058 ,352487 ,7541 ,278183 ,350840 ,353332 ,7521 ,278736 ,351413 ,353851 ,7477 ,279137 ,351837 ,354232 ,7423 ,279577 ,351990 ,354454 ,7385 ,280236 ,352439 ,355046 ,7372 ,281325 ,353217 ,356030 ,7340 ,281998 ,353465 ,356416 ,7311 ,282645 ,353701 ,356732 ,7284 ,283718 ,354477 ,357338 ,7237 ,NaN,355027 ,357873 ,7182 ,285334 ,355197 ,358124 ,7141 
파주시,181111 ,223072 ,216209 ,10732 ,181829 ,223554 ,216767 ,10601 ,182379 ,223918 ,217182 ,10640 ,182723 ,224181 ,217436 ,10667 ,183207 ,224685 ,217900 ,10806 ,183614 ,224975 ,218269 ,10951 ,184247 ,225487 ,218694 ,11066 ,185486 ,226711 ,219958 ,11104 ,186483 ,227613 ,220933 ,11123 ,187439 ,228383 ,221724 ,11179 ,187953 ,228850 ,222168 ,11206 ,188407 ,229250 ,222598 ,11274 ,188884 ,229604 ,222960 ,11258 ,189382 ,229915 ,223142 ,11163 ,189702 ,229975 ,223292 ,11170 ,189952 ,230009 ,223357 ,11240 ,190191 ,230127 ,223473 ,11259 ,190474 ,230304 ,223579 ,11292 ,190682 ,230341 ,223601 ,11392 ,189224 ,230315 ,223583 ,11382 ,191092 ,230236 ,223589 ,11346 ,191502 ,230435 ,223620 ,11489 ,191594 ,230527 ,223580 ,11525 ,191668 ,230461 ,223579 ,11572 ,191780 ,230458 ,223503 ,11648 ,191890 ,230409 ,223418 ,11721 ,192385 ,230790 ,223704 ,11623 ,192716 ,231142 ,224120 ,11524 ,193249 ,231256 ,224215 ,11423 ,193902 ,231522 ,224551 ,11348 ,194725 ,231825 ,224963 ,11222 ,196157 ,232919 ,226239 ,11146 ,197536 ,233949 ,227365 ,11067 ,198536 ,234915 ,228240 ,10912 ,NaN,235537 ,228916 ,10761 ,200270 ,236049 ,229568 ,10655 
의정부시,180004 ,218155 ,224052 ,4220 ,180460 ,218371 ,224341 ,4247 ,180756 ,218383 ,224424 ,4290 ,181130 ,218426 ,224539 ,4365 ,181431 ,218416 ,224508 ,4483 ,181558 ,218296 ,224422 ,4590 ,181856 ,218296 ,224500 ,4700 ,182411 ,218610 ,224856 ,4782 ,183087 ,219028 ,225334 ,4644 ,183786 ,219374 ,225637 ,4599 ,184304 ,219695 ,225937 ,4544 ,185319 ,220360 ,226666 ,4516 ,186246 ,221006 ,227357 ,4542 ,186879 ,221316 ,227805 ,4579 ,187430 ,221565 ,228238 ,4537 ,187998 ,221796 ,228536 ,4581 ,188557 ,221978 ,228717 ,4570 ,188869 ,222135 ,228826 ,4619 ,189224 ,222289 ,228919 ,4758 ,190682 ,222583 ,229260 ,4845 ,189958 ,222617 ,229229 ,4882 ,190299 ,222605 ,229236 ,4913 ,190466 ,222627 ,229206 ,4899 ,190760 ,222590 ,229278 ,4908 ,191062 ,222611 ,229265 ,4984 ,191903 ,223110 ,229755 ,5218 ,192725 ,223534 ,230145 ,5190 ,193333 ,223765 ,230457 ,5142 ,194134 ,224100 ,230759 ,5135 ,195030 ,224416 ,231104 ,5129 ,195887 ,224479 ,231192 ,5014 ,197062 ,224985 ,231675 ,4855 ,198362 ,225715 ,232558 ,4803 ,199398 ,226232 ,233186 ,4794 ,NaN,226656 ,233734 ,4762 ,201630 ,227342 ,234368 ,4745 
양주시,85340 ,107628 ,104529 ,7196 ,85557 ,107675 ,104495 ,7158 ,85792 ,107750 ,104611 ,7116 ,85917 ,107686 ,104590 ,7107 ,86043 ,107730 ,104655 ,7001 ,86506 ,108211 ,105177 ,7123 ,86815 ,108484 ,105481 ,7168 ,87216 ,108722 ,105714 ,7262 ,87540 ,108989 ,105897 ,7215 ,87948 ,109244 ,106118 ,7320 ,88630 ,109694 ,106610 ,7301 ,89088 ,109978 ,106973 ,7299 ,89535 ,110329 ,107350 ,7260 ,89836 ,110513 ,107544 ,7205 ,90222 ,110935 ,107929 ,7119 ,90723 ,111443 ,108346 ,7186 ,91173 ,111816 ,108736 ,7107 ,91484 ,111962 ,108891 ,7164 ,91722 ,112090 ,108975 ,7282 ,91722 ,112167 ,109096 ,7369 ,92237 ,112323 ,109256 ,7317 ,92589 ,112495 ,109455 ,7428 ,92959 ,112746 ,109511 ,7446 ,93026 ,112775 ,109539 ,7464 ,93156 ,112770 ,109505 ,7528 ,93333 ,112854 ,109581 ,7547 ,93895 ,113515 ,110189 ,7461 ,94279 ,113980 ,110544 ,7457 ,94689 ,114236 ,110833 ,7399 ,95348 ,114757 ,111258 ,7402 ,96334 ,115695 ,112277 ,7373 ,96907 ,116194 ,112858 ,7321 ,97235 ,116428 ,112999 ,7169 ,97666 ,116719 ,113286 ,7107 ,NaN,116847 ,113426 ,7074 ,97998 ,116916 ,113443 ,7011 
구리시,77527 ,99468 ,100891 ,1412 ,77570 ,99402 ,100848 ,1403 ,77564 ,99228 ,100749 ,1409 ,77715 ,99260 ,100810 ,1403 ,78032 ,99645 ,101187 ,1407 ,78437 ,100077 ,101586 ,1428 ,78594 ,100158 ,101665 ,1427 ,78627 ,100100 ,101475 ,1411 ,78925 ,100385 ,101736 ,1416 ,79447 ,100924 ,102294 ,1398 ,79670 ,101144 ,102467 ,1412 ,79735 ,101084 ,102469 ,1424 ,79722 ,100867 ,102314 ,1433 ,79716 ,100625 ,102062 ,1425 ,79638 ,100439 ,101840 ,1416 ,79698 ,100291 ,101661 ,1436 ,79783 ,100174 ,101505 ,1422 ,79795 ,99980 ,101377 ,1412 ,79811 ,99821 ,101131 ,1442 ,79811 ,99430 ,100775 ,1451 ,79547 ,99123 ,100472 ,1447 ,79515 ,98926 ,100313 ,1481 ,79667 ,98985 ,100274 ,1480 ,79870 ,98968 ,100297 ,1490 ,79988 ,98858 ,100157 ,1495 ,80252 ,98807 ,100114 ,1509 ,80442 ,98873 ,100226 ,1512 ,80585 ,98816 ,100202 ,1511 ,80740 ,98734 ,100149 ,1467 ,80745 ,98503 ,99958 ,1464 ,80840 ,98386 ,99826 ,1450 ,80972 ,98262 ,99627 ,1450 ,81249 ,98260 ,99714 ,1448 ,81383 ,98145 ,99636 ,1432 ,NaN,98033 ,99575 ,1406 ,81520 ,97939 ,99515 ,1402 
포천시,68845 ,80295 ,72440 ,12497 ,68914 ,80233 ,72348 ,12341 ,68964 ,80175 ,72252 ,12252 ,69028 ,80120 ,72190 ,12189 ,69167 ,80128 ,72170 ,12301 ,69260 ,80090 ,72136 ,12541 ,69257 ,79964 ,72019 ,12725 ,69297 ,79925 ,71965 ,12673 ,69384 ,79874 ,71893 ,12720 ,69442 ,79712 ,71783 ,12740 ,69443 ,79517 ,71588 ,12758 ,69429 ,79310 ,71366 ,12798 ,69395 ,79079 ,71113 ,12832 ,69484 ,78981 ,71000 ,12701 ,69574 ,78961 ,70877 ,12597 ,69641 ,78843 ,70760 ,12756 ,69783 ,78731 ,70659 ,12801 ,69855 ,78691 ,70677 ,12822 ,69839 ,78556 ,70565 ,12999 ,69839 ,78501 ,70541 ,12978 ,69859 ,78418 ,70382 ,13014 ,69970 ,78446 ,70305 ,13155 ,69985 ,78342 ,70241 ,13160 ,69976 ,78231 ,70148 ,13264 ,69995 ,78129 ,70008 ,13603 ,69988 ,77972 ,69798 ,13749 ,70203 ,78050 ,69803 ,13507 ,70356 ,78234 ,69910 ,13316 ,70532 ,78242 ,69839 ,13167 ,70702 ,78233 ,69782 ,13096 ,70793 ,78166 ,69643 ,12908 ,70950 ,78194 ,69660 ,12788 ,71061 ,78196 ,69607 ,12650 ,71168 ,78066 ,69512 ,12494 ,NaN,78012 ,69465 ,12280 ,71315 ,77905 ,69369 ,12115 
